ccn,ceo,company_name,description,founded_in,headquarters,nob,ownership,ratings,toc
,,Indian Immunologicals,"Indian Immunologicals was setup by The National Dairy Development Board (NDDB) in 1982, as its unit, with the objective of making vaccines available to farmers at an affordable price. The unit was corporatized as Indian Immunologicals Limited in the year 1999.
IIL is the market leader in veterinary biologicals in India and operates one of the largest plants in the world for veterinary vaccines. IIL has adequate infrastructure and cold chain maintenance capabilities to reach out to the nooks and corners of India. This fexibility in logistics has ensured many products of IIL to occupy top slots in the market.
IIL started manufacturing human vaccines in 1998 at the specific request of the Government of India. IIL is the second company in the world and first in India to launch the purified Vero cell rabies vaccine (PVRV) with the brand – Abhayrab. This led to the discontinuation of use of the older and unsafe sheep brain vaccine (also termed nerve tissue vaccine – NTV) in the Country.
IIL is a major player in the human vaccine market in India, focusing on the pediatric and rabies vaccine segments. IIL is also a major supplier of pediatric vaccines to India’s large Universal Immunization Programme.
IIL pursues not only the mandate of NDDB to provide products and services to enhance the quality of livestock in the country, but also utilizes its technological capabilities for the benefit of the people.",1982,"Hyderabad/Secunderabad, Telangana, India",B2C,Public,4.1,Corporate
,,National Fertilizers,"NFL, a Schedule ‘A’ & a Mini Ratna (Category-I) Company, having its registered office at New Delhi was incorporated on 23rd August 1974. Its Corporate Office is at NOIDA (U.P). It has an authorized capital of Rs. 1000 crore and a paid up capital of
Rs. 490.58 crore out of which Government of India’s share is 74.71 % and 25.29 % is held by financial institutions & others..",1974,"Noida, India",,Public,4.3,
,,Joulestowatts Business Solutions,"The shifting paradigms of today’s corporate world demand that businesses reinvent their Digital transformation strategy, Technology Experts with a strategic and proactive Solution management. JoulestoWatts delivers the best talent solutions, business and technology consulting with innovative models that address the industry. JoulestoWatts delivers client-focused, multi-disciplinary solutions to complex challenges and opportunities to achieve tangible and sustainable enterprise value through disciplined execution of tailored business strategies. We apply analytical rigour to uncover insights that lead to smart decisions and use the best technologies and operational processes to bring innovation, growth and value to our clients businesses. Our focus is to engage the best talent in the Industry for client success. we recognise the inherent strengths of each individual and believe in investing in every employee. We believe that heterogeneous talent pool is a critical factor for the success of the organisation and draw upon the strengths of our employees from diverse backgrounds. JoulestoWatts is WeConnect certified organization.",2015,,Service,Private,2.9,Startup
,,Johnson Controls Hitachi Air Conditioning,,,,,,3.7,
,,Kuehne + Nagel,"With over 82,000 employees at some 1,300 locations in over 100 countries, the Kuehne + Nagel Group is one of the world’s leading logistics companies. Its strong market position lies in the seafreight, airfreight, contract logistics and overland businesses, with a clear focus on high value-added segments such as IT-based integrated logistics solutions.",1890,,B2B,Private,4.1,Foreign Mnc
,,S2 Infotech,"S2 Infotech International Ltd (S2IIL) - formerly known as S2 Infotech Pvt Ltd., is an ISO Certified & CMMI Level 5 and PCMM Level 3, global software & solutions company that is driven by the simple yet powerful tenet of providing ‘total customer satisfaction’. S2 Infotech is an ISO 9001 firm with offices across India & U.A.E. S2 Infotech is a Next-Generation HR services provider, founded in the year 2005 in Mumbai, India. We provide a bouquet of services including RPO Solutions; Search, Selection & Staff Augmentation; HR Process Outsourcing, Learning & Development and Managed Services. In the time we have spent in the industry, we have acquired valuable expertise and knowledge and enlarged our employee base to over 1500. Currently, we have offices in all major Indian metropolises. We at S2 form an invaluable connection among employees, organisations and our vendors.",2005,"Mumbai, Maharashtra, India",B2C,Public,3.4,Corporate
,,Solv,,2019,,,,3.8,
,,Ryan International School,"Ryan International School, Noida was established in the year 1992 with an aim to provide ‘Excellence in Education and ‘All round Development’.The school is divided into three wings and is separated into two buildings. One of the buildings contains the Montessori sections and is a little away from the main building. The main building has three floors and a basement, and is divided into two blocks, A and B. Block B contains all the junior classes (classes 1-8), the home science lab and the biology lab. Block A has the senior classes (classes 9-12), the chemistry and the physics labs, and the office",1992,"Mumbai, Maharashtra, India",B2C,Public,3.6,Corporate
,,Katerra,"Technology-driven efficiencies and insights have driven extraordinary productivity gains in the global economy over the last several decades. We are doing the same for building design and construction, applying many of these established tools—and inventing others—to address entrenched challenges.",2015,,B2B,Private,3.4,Startup
,,Symbiotec Pharmalab,"A Steroid-Hormone APIs Manufacturer in India, we offer the unique proposition of providing Steroid-Hormone API Solutions with regulatory support matching ‘Western Standards’ with ‘Asian Cost Advantage’.Symbiotec has two manufacturing facilities in Indore, Central India, which have been built over the last decade to conform to cGMP regulations and compete with the best in the world in terms of infrastructure and technological capabilities.",1994,"Indore, Madhya Pradesh, India",B2C,Private,3.8,Corporate
,,Ggs Information Services,"GGS Information Services is a leading global provider of technical information and engineering services. Utilizing advanced technology as well as human resources, the company delivers high-quality services to an array of business partners in the global marketplace. Whether in technical information management, engineering services, parts database development, or document imaging, the mission of GGS is to create innovative cost-effective solutions that add value to the business of our growing customer base. The company offers a wide variety of onshore-, nearshore-, and offshore-based service options directed specifically to the needs of aerospace, defense, automotive, heavy equipment, and agricultural manufacturers.",1988,,Service,Private,3.8,Corporate
